Fecha,Hora,Persona,Emojis
2023-09-03,05:53:00,Dome ✨ Babe,👀
2023-09-03,05:53:00,Dome ✨ Babe,👀
2023-09-03,14:26:00,Dome ✨ Babe,🥰
2023-09-03,14:37:00,Dome ✨ Babe,🤔
2023-09-03,14:38:00,Dome ✨ Babe,♥️
2023-09-03,14:38:00,Dome ✨ Babe,🤔
2023-09-03,14:43:00,Dome ✨ Babe,🤔
2023-09-03,14:56:00,Dome ✨ Babe,♥️
2023-09-03,15:10:00,Dome ✨ Babe,👀
2023-09-03,15:10:00,Dome ✨ Babe,👀
2023-09-03,15:10:00,Dome ✨ Babe,👀
2023-09-03,18:23:00,Dome ✨ Babe,🤣
2023-09-03,18:26:00,Dome ✨ Babe,👀
2023-09-03,19:09:00,Carlos,❤️
2023-09-03,19:10:00,Dome ✨ Babe,❤️
2023-09-03,20:43:00,Dome ✨ Babe,🤣
2023-09-03,20:45:00,Dome ✨ Babe,🤔
2023-10-03,10:14:00,Dome ✨ Babe,😘
2023-10-03,20:39:00,Dome ✨ Babe,🤭
2023-10-03,20:39:00,Dome ✨ Babe,🤭
2023-10-03,20:39:00,Dome ✨ Babe,🤭
2023-10-03,20:40:00,Dome ✨ Babe,🥰
2023-10-03,20:40:00,Dome ✨ Babe,❤️
2023-10-03,23:09:00,Carlos,🥰
2023-10-03,23:09:00,Carlos,🥰
2023-10-03,23:09:00,Carlos,🥰
2023-11-03,06:25:00,Dome ✨ Babe,🥰
2023-11-03,10:10:00,Dome ✨ Babe,🥰
2023-11-03,11:54:00,Dome ✨ Babe,😊
2023-11-03,12:00:00,Dome ✨ Babe,✨
2023-11-03,12:01:00,Dome ✨ Babe,🤔
2023-11-03,19:51:00,Dome ✨ Babe,🤣
2023-03-13,10:09:00,Dome ✨ Babe,👀
2023-03-13,10:09:00,Dome ✨ Babe,👀
2023-03-13,10:09:00,Dome ✨ Babe,👀
2023-03-13,10:09:00,Dome ✨ Babe,👀
2023-03-13,10:21:00,Dome ✨ Babe,🥰
2023-03-13,10:23:00,Dome ✨ Babe,✨
2023-03-13,10:24:00,Dome ✨ Babe,😪
2023-03-13,10:25:00,Carlos,💕
2023-03-13,10:25:00,Carlos,🤣
2023-03-13,10:39:00,Dome ✨ Babe,🤡
2023-03-13,10:39:00,Dome ✨ Babe,♥️
2023-03-13,10:39:00,Dome ✨ Babe,😘
2023-03-13,15:30:00,Dome ✨ Babe,✨
2023-03-13,16:31:00,Dome ✨ Babe,🤫
2023-03-13,16:37:00,Carlos,🥰
2023-03-13,16:39:00,Carlos,🤣
2023-03-13,16:40:00,Dome ✨ Babe,😅
2023-03-13,16:43:00,Dome ✨ Babe,🥰
2023-03-13,16:43:00,Dome ✨ Babe,♥️
2023-03-13,16:45:00,Dome ✨ Babe,👀
2023-03-13,16:45:00,Dome ✨ Babe,😗
2023-03-13,16:46:00,Dome ✨ Babe,😘
2023-03-13,16:46:00,Dome ✨ Babe,😘
2023-03-13,16:47:00,Dome ✨ Babe,🤡
2023-03-13,16:47:00,Dome ✨ Babe,🤡
2023-03-13,16:47:00,Dome ✨ Babe,🤡
2023-03-13,16:47:00,Carlos,🤔
2023-03-13,16:47:00,Carlos,🤣
2023-03-13,16:49:00,Dome ✨ Babe,😘
2023-03-13,16:50:00,Dome ✨ Babe,😘
2023-03-13,16:51:00,Dome ✨ Babe,🥰
2023-03-13,16:51:00,Dome ✨ Babe,♥️
2023-03-13,16:51:00,Dome ✨ Babe,😊
2023-03-13,16:51:00,Dome ✨ Babe,🫶🏻
2023-03-13,16:52:00,Carlos,🥰
2023-03-13,16:52:00,Dome ✨ Babe,🥺
2023-03-13,18:40:00,Dome ✨ Babe,🤡
2023-03-13,18:40:00,Dome ✨ Babe,👍🏻
2023-03-13,18:41:00,Dome ✨ Babe,👌🏻
2023-03-13,18:43:00,Carlos,♥️
2023-03-13,18:48:00,Carlos,🥰
2023-03-13,18:48:00,Carlos,🥰
2023-03-13,18:48:00,Carlos,🥰
2023-03-13,18:49:00,Carlos,🥰
2023-03-13,21:22:00,Dome ✨ Babe,✨
2023-03-14,11:12:00,Dome ✨ Babe,♥️
2023-03-14,17:47:00,Dome ✨ Babe,❤️
2023-03-14,20:35:00,Dome ✨ Babe,🤭
2023-03-14,20:35:00,Dome ✨ Babe,🤡
2023-03-14,20:37:00,Dome ✨ Babe,😪
2023-03-14,20:41:00,Dome ✨ Babe,🤔
2023-03-14,22:59:00,Dome ✨ Babe,🤣
2023-03-15,08:17:00,Dome ✨ Babe,😊
2023-03-15,08:17:00,Dome ✨ Babe,❤️
2023-03-15,08:18:00,Dome ✨ Babe,✨
2023-03-15,08:19:00,Dome ✨ Babe,🤭
2023-03-15,08:23:00,Dome ✨ Babe,❤️
2023-03-15,08:23:00,Dome ✨ Babe,❤️
2023-03-15,08:23:00,Dome ✨ Babe,❤️
2023-03-15,13:13:00,Dome ✨ Babe,🥰
2023-03-15,17:03:00,Dome ✨ Babe,🤔
2023-03-15,17:05:00,Dome ✨ Babe,🤔
2023-03-15,17:07:00,Dome ✨ Babe,👌🏻
2023-03-15,20:50:00,Dome ✨ Babe,✨
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:14:00,Dome ✨ Babe,🥺
2023-03-16,16:15:00,Dome ✨ Babe,💗
2023-03-16,16:15:00,Dome ✨ Babe,💗
2023-03-16,16:15:00,Dome ✨ Babe,💗
2023-03-16,16:18:00,Dome ✨ Babe,🥺
2023-03-16,16:18:00,Dome ✨ Babe,💗
2023-03-16,16:18:00,Dome ✨ Babe,🥺
2023-03-16,16:19:00,Dome ✨ Babe,🥰
2023-03-16,16:43:00,Dome ✨ Babe,👀
2023-03-16,19:46:00,Dome ✨ Babe,👀
2023-03-16,19:49:00,Dome ✨ Babe,🤣
2023-03-16,19:52:00,Dome ✨ Babe,😔
2023-03-17,08:20:00,Dome ✨ Babe,😚
2023-03-17,14:44:00,Carlos,🥰
2023-03-17,14:51:00,Dome ✨ Babe,✨
2023-03-17,14:51:00,Dome ✨ Babe,🥰
2023-03-17,14:51:00,Dome ✨ Babe,❤️
2023-03-17,19:15:00,Carlos,💕
2023-03-17,20:35:00,Dome ✨ Babe,♥️
2023-03-17,20:56:00,Dome ✨ Babe,👀
2023-03-17,20:56:00,Dome ✨ Babe,🥰
2023-03-17,21:24:00,Dome ✨ Babe,♥️
2023-03-17,21:57:00,Dome ✨ Babe,😔
2023-03-17,21:57:00,Dome ✨ Babe,😔
2023-03-17,21:57:00,Dome ✨ Babe,😔
2023-03-17,21:57:00,Dome ✨ Babe,😔
2023-03-18,12:06:00,Dome ✨ Babe,♥️
2023-03-18,14:50:00,Dome ✨ Babe,😡
2023-03-18,14:50:00,Dome ✨ Babe,😒
2023-03-18,14:50:00,Dome ✨ Babe,😒
2023-03-18,14:50:00,Dome ✨ Babe,😒
2023-03-18,14:50:00,Dome ✨ Babe,😒
2023-03-18,14:50:00,Dome ✨ Babe,😒
2023-03-18,14:50:00,Dome ✨ Babe,😒
2023-03-18,14:51:00,Dome ✨ Babe,🥰
2023-03-18,15:11:00,Dome ✨ Babe,🤡
2023-03-18,15:14:00,Dome ✨ Babe,👍🏻
2023-03-18,18:03:00,Dome ✨ Babe,🥰
2023-03-18,18:03:00,Dome ✨ Babe,✨
2023-03-18,20:58:00,Dome ✨ Babe,👀
2023-03-18,20:58:00,Dome ✨ Babe,🤣
2023-03-19,13:19:00,Dome ✨ Babe,🤭
2023-03-20,14:04:00,Carlos,🤔
2023-03-20,14:05:00,Carlos,🤔
2023-03-20,14:05:00,Dome ✨ Babe,🤡
2023-03-20,20:43:00,Dome ✨ Babe,✨
2023-03-20,20:52:00,Dome ✨ Babe,🥰
2023-03-20,20:52:00,Dome ✨ Babe,💗
2023-03-20,20:54:00,Carlos,💕
2023-03-21,17:26:00,Dome ✨ Babe,💛
2023-03-21,19:29:00,Dome ✨ Babe,👀
2023-03-21,19:30:00,Dome ✨ Babe,👀
2023-03-21,19:30:00,Dome ✨ Babe,👀
2023-03-21,19:30:00,Dome ✨ Babe,👀
2023-03-21,19:30:00,Dome ✨ Babe,👀
2023-03-21,19:30:00,Dome ✨ Babe,👀
2023-03-21,19:31:00,Dome ✨ Babe,😔
2023-03-21,19:32:00,Dome ✨ Babe,✨
2023-03-22,09:26:00,Carlos,🥰
2023-03-22,10:43:00,Dome ✨ Babe,👀
2023-03-22,17:07:00,Carlos,🥰
2023-03-22,20:50:00,Dome ✨ Babe,😌
2023-03-22,20:50:00,Dome ✨ Babe,😏
2023-03-22,20:54:00,Dome ✨ Babe,🤣
2023-03-22,20:56:00,Carlos,❤️
2023-03-22,20:56:00,Dome ✨ Babe,😳
2023-03-22,20:56:00,Dome ✨ Babe,😳
2023-03-22,20:56:00,Dome ✨ Babe,😳
2023-03-22,21:01:00,Dome ✨ Babe,♥️
2023-03-22,21:01:00,Dome ✨ Babe,😌
2023-03-22,21:10:00,Dome ✨ Babe,😍
2023-03-22,21:11:00,Dome ✨ Babe,👀
2023-03-22,21:11:00,Carlos,❤️
2023-03-22,21:13:00,Carlos,❤️
2023-03-24,19:15:00,Dome ✨ Babe,🦥
2023-03-24,23:53:00,Dome ✨ Babe,🤡
2023-03-24,23:53:00,Dome ✨ Babe,🤡
2023-03-24,23:53:00,Dome ✨ Babe,🤡
2023-03-25,00:11:00,Dome ✨ Babe,😪
2023-03-25,00:14:00,Dome ✨ Babe,🤡
2023-03-25,00:22:00,Dome ✨ Babe,🤡
2023-03-25,08:15:00,Dome ✨ Babe,😅
2023-03-25,08:15:00,Dome ✨ Babe,😅
2023-03-25,09:12:00,Dome ✨ Babe,☺️
2023-03-25,10:06:00,Dome ✨ Babe,😡
2023-03-25,10:23:00,Dome ✨ Babe,🤡
2023-03-25,10:24:00,Dome ✨ Babe,🤡
2023-03-25,10:24:00,Dome ✨ Babe,😅
2023-03-25,10:24:00,Dome ✨ Babe,😅
2023-03-25,10:26:00,Dome ✨ Babe,💗
2023-03-25,10:42:00,Dome ✨ Babe,👌🏻
2023-03-25,10:43:00,Dome ✨ Babe,😭
2023-03-25,10:57:00,Dome ✨ Babe,🤣
2023-03-25,10:57:00,Dome ✨ Babe,🤣
2023-03-25,10:57:00,Dome ✨ Babe,🤣
2023-03-25,10:57:00,Dome ✨ Babe,🤣
2023-03-25,10:57:00,Dome ✨ Babe,🤣
2023-03-25,13:05:00,Carlos,🤣
2023-03-25,13:11:00,Dome ✨ Babe,🤣
2023-03-25,13:12:00,Dome ✨ Babe,❤️
2023-03-25,13:12:00,Dome ✨ Babe,💗
2023-03-25,13:28:00,Dome ✨ Babe,👀
2023-03-25,13:33:00,Dome ✨ Babe,👀
2023-03-25,13:33:00,Dome ✨ Babe,👀
2023-03-25,13:33:00,Dome ✨ Babe,👀
2023-03-25,16:01:00,Dome ✨ Babe,🤔
2023-03-25,16:01:00,Dome ✨ Babe,🥰
2023-03-25,16:01:00,Dome ✨ Babe,✨
2023-03-25,23:31:00,Carlos,💕
2023-03-25,23:41:00,Dome ✨ Babe,🥰
2023-03-25,23:41:00,Dome ✨ Babe,✨
2023-03-25,23:41:00,Dome ✨ Babe,❤️
2023-03-25,23:41:00,Dome ✨ Babe,❤️
2023-03-25,23:41:00,Dome ✨ Babe,🥰
2023-03-25,23:42:00,Dome ✨ Babe,👀
2023-03-25,23:42:00,Dome ✨ Babe,👀
2023-03-25,23:42:00,Dome ✨ Babe,👀
2023-03-26,13:19:00,Dome ✨ Babe,😑
2023-03-26,20:51:00,Dome ✨ Babe,🤡
2023-03-27,17:29:00,Dome ✨ Babe,😪
2023-03-27,17:31:00,Dome ✨ Babe,❤️
2023-03-27,17:31:00,Dome ✨ Babe,❤️
2023-03-27,22:10:00,Dome ✨ Babe,🤔
2023-03-27,22:15:00,Dome ✨ Babe,😑
2023-03-27,22:17:00,Dome ✨ Babe,🧐
2023-03-27,22:17:00,Dome ✨ Babe,🧐
2023-03-27,22:17:00,Dome ✨ Babe,🧐
